,precision,recall,f1-score,support
economic,0.7758620689655172,0.87890625,0.8241758241758241,256.0
entertainment,0.9032258064516129,0.9333333333333333,0.9180327868852459,210.0
life,0.7870967741935484,0.580952380952381,0.6684931506849315,210.0
politic,0.8913934426229508,0.9688195991091314,0.928495197438634,449.0
sport,0.9854368932038835,0.9712918660287081,0.9783132530120482,209.0
technology,0.9090909090909091,0.8133971291866029,0.8585858585858586,209.0
accuracy,0.8755670771224887,0.8755670771224887,0.8755670771224887,0.8755670771224887
macro avg,0.8753509824214035,0.857783426435026,0.862682678463757,1543.0
weighted avg,0.8747766675359514,0.8755670771224887,0.8716563291332841,1543.0
