rank,term,mean_tfidf_After stopword removal
1,កម្ពុជ,0.0403
2,ឆ្ន,0.0337
3,ប្រទេស,0.0314
4,ដោយ,0.0252
5,ក្រុមហ៊ុន,0.0250
6,ឱ្យ,0.0235
7,សម្តេច,0.0222
8,រថយន្ត,0.0221
9,ចិន,0.0215
10,ជាមួយ,0.0175
11,ក្លឹប,0.0173
12,អាមេរិក,0.0167
13,ទៀត,0.0167
14,ថ្ម,0.0166
15,ក្រុម,0.0165
16,ថ្ងៃទ,0.0159
17,គណបក្ស,0.0158
18,នៅក្នុង,0.0158
19,មក,0.0151
20,កីឡាករ,0.0143
21,ខេត្ត,0.0141
22,ជាត,0.0139
23,ធ្វ,0.0139
24,ខ្មែរ,0.0139
25,ជាង,0.0138
26,តេជ,0.0131
27,គ្ន,0.0131
28,កម្មវិធ,0.0131
29,ថ្ង,0.0129
30,រដ្ឋមន្ត្រ,0.0129
