term,mean_tfidf_Raw (no stopword removal)
និង,0.0660243881251811
បាន,0.06430517971201917
ដែល,0.04856606343727237
មាន,0.04704804830484149
លោក,0.04262285032914129
ក្នុង,0.04158974342743527
របស,0.041107724935207465
កម្ពុជ,0.038568202318307536
ឆ្ន,0.031978019420146296
ប្រទេស,0.029743240430611866
នឹង,0.026062397583290067
មិន,0.025225240834098463
ដោយ,0.02389744612469056
ក្រុមហ៊ុន,0.02348322266275629
ឱ្យ,0.022315897786410584
សម្តេច,0.021450093466057862
រថយន្ត,0.02088609978071198
មួយ,0.0205044658669917
ចិន,0.020284730098438886
ហើយ,0.01992067253562832
